"source","id_str","text","created_at","retweet_count","in_reply_to_user_id_str","favorite_count","is_retweet"
"Media Studio","920474831749025795","The most important truth our FOUNDERS understood was: FREEDOM is NOT a gift from Govt. FREEDOM is a GIFT from GOD. <U+0001F3A5>https://t.co/rmAzGt8SuG https://t.co/SrPavwrt2R","Wed Oct 18 02:21:16 +0000 2017",17935,NA,63961,FALSE
"Media Studio","920450535005851648","Thank you @Heritage! This is our once-in-a-generation opportunity to revitalize our economy, revive our industry &amp; renew the AMERICAN DREAM! https://t.co/HI30nojsGo","Wed Oct 18 00:44:43 +0000 2017",9709,NA,42699,FALSE
"Twitter for iPhone","920425695507042305","WOW! https://t.co/eKfRktNVuy","Tue Oct 17 23:06:01 +0000 2017",17165,NA,63824,FALSE
"Twitter for iPhone","920425069964349445","BORDER WALL prototypes underway! https://t.co/arFNO80zmO","Tue Oct 17 23:03:32 +0000 2017",31067,NA,104601,FALSE
"Twitter for iPhone","920408108194783232","Any increase in ObamaCare premiums is the fault of the Democrats for giving us a ""product"" that never had a chance of working.","Tue Oct 17 21:56:08 +0000 2017",16808,NA,72698,FALSE
"Twitter for iPhone","920406959320371200","So much Fake News being put in dying magazines and newspapers. Only place worse may be @NBCNews, @CBSNews, @ABC and @CNN. Fiction writers!","Tue Oct 17 21:51:34 +0000 2017",16242,NA,64187,FALSE
"Media Studio","920363714062274560","It was my great honor to welcome Prime Minister Alexis Tsipras of Greece to the WH today! <U+0001F3A5>https://t.co/Bn1vM6fYW9 <U+0001F4F8>https://t.co/j0roMFT3YL https://t.co/MPe5HWFcZ1","Tue Oct 17 18:59:43 +0000 2017",6765,NA,37587,FALSE
"Twitter for iPhone","920340060947574786","Join me LIVE from the Rose Garden at 1:30pmE with Prime Minister Alexis Tsipras of Greece. <U+27A1><U+FE0F>https://t.co/Bn1vM6fYW9 https://t.co/dZB4mDBKpi","Tue Oct 17 17:25:44 +0000 2017",4373,NA,25242,FALSE
"Twitter for iPhone","920322631412473856","""Dow Passes 23,000 for the First Time, Fueled by Strong Earnings""
#Dow23K<U+0001F4C8>https://t.co/wnkrddYlb9 https://t.co/wlP0NCNcou","Tue Oct 17 16:16:28 +0000 2017",11493,NA,46070,FALSE
"Twitter for iPhone","920268091329859585","Rep.Tom Marino has informed me that he is withdrawing his name from consideration as drug czar. Tom is a fine man and a great Congressman!","Tue Oct 17 12:39:45 +0000 2017",8702,NA,50141,FALSE
"Twitter for iPhone","920244350268903424","RT @Scavino45: U.S. MARKETS FROM ELECTION DAY {Since 11/8/2016} <U+0001F4C8> https://t.co/HtjHrznQKJ","Tue Oct 17 11:05:25 +0000 2017",7799,NA,0,TRUE
"Twitter for iPhone","920069869365878785","Always great to see the wonderful people of South Carolina. Thank you for the beautiful welcome at Greenville-Spartanburg Int'l Airport! https://t.co/maO9Nc0sTe","Mon Oct 16 23:32:05 +0000 2017",12313,NA,65889,FALSE
"Twitter for iPhone","919914000959397888","I was recently asked if Crooked Hillary Clinton is going to run in 2020? My answer was, ""I hope so!""","Mon Oct 16 13:12:43 +0000 2017",35069,NA,152051,FALSE
"Twitter for iPhone","919910256624447493","The U.S. has gained more than 5.2 trillion dollars in Stock Market Value since Election Day! Also, record business enthusiasm.","Mon Oct 16 12:57:50 +0000 2017",19613,NA,96816,FALSE
"Twitter for iPhone","919909494200528897","Since Election Day on November 8, the Stock Market is up more than 25%, unemployment is at a 17 year low &amp; companies are coming back to U.S.","Mon Oct 16 12:54:49 +0000 2017",20216,NA,92771,FALSE
"Twitter for iPhone","919908143475412993","Dem Senator Schumer hated the Iran deal made by President Obama, but now that I am involved, he is OK with it. Tell that to Israel, Chuck!","Mon Oct 16 12:49:27 +0000 2017",21065,NA,77093,FALSE
"Twitter for iPhone","919901190376259586","The Democrats only want to increase taxes and obstruct. That's all they are good at!","Mon Oct 16 12:21:49 +0000 2017",12973,"25073877",57644,FALSE
"Twitter for iPhone","919900022409449474","Art Laffer just said that he doesn't know how a Democrat could vote against the big tax cut/reform bill and live with themselves!  @FoxNews","Mon Oct 16 12:17:10 +0000 2017",12938,NA,58127,FALSE
"Twitter for iPhone","919728356765073408","RT @ABCNewsRadio: Global fund championed by Ivanka Trump to help women entrepreneurs begins operations https://t.co/jUmsY3ON4x https://t.co…","Mon Oct 16 00:55:02 +0000 2017",5589,NA,0,TRUE
"Twitter for iPhone","919727009797951488","RT @mike_pence: .@EdWGillespie is fighting to grow the economy &amp; cut taxes! He’s fighting for a safer VA. And he’s is fighting for affordab…","Mon Oct 16 00:49:41 +0000 2017",5884,NA,0,TRUE
"Twitter for iPhone","919560102725738498","...approvals of The Keystone XL &amp; Dakota Access pipelines. Also, look at the recent EPA cancelations &amp; our great new Supreme Court Justice!","Sun Oct 15 13:46:27 +0000 2017",14897,NA,77543,FALSE
"Twitter for iPhone","919554724512387072","The Failing @nytimes, in a story by Peter Baker, should have mentioned the rapid terminations by me of TPP &amp; The Paris Accord &amp; the fast....","Sun Oct 15 13:25:05 +0000 2017",12861,NA,60798,FALSE
"Twitter for iPhone","919342572526559232","RT @FoxNews: TONIGHT on ""Justice,"" @JudgeJeanine talks to special guests @EricTrump and @LaraLeaTrump - Tune in at 9p ET on Fox News Channe…","Sat Oct 14 23:22:04 +0000 2017",4510,NA,0,TRUE
"Twitter for iPhone","919314277177192448","RT @EricTrump: .@LaraLeaTrump and I look forward to being on @JudgeJeanine tonight at 9pm! @FoxNews #MakeAmericaGreatAgain <U+0001F1FA><U+0001F1F8><U+0001F1FA><U+0001F1F8><U+0001F1FA><U+0001F1F8> https://t…","Sat Oct 14 21:29:38 +0000 2017",5848,NA,0,TRUE
"Twitter for iPhone","919314010587230208","RT @mike_pence: We are heading to Virginia. Looking forward to supporting my friend @EdWGillespie. He will make a great Governor for the Co…","Sat Oct 14 21:28:34 +0000 2017",7978,NA,0,TRUE
"Twitter for iPhone","919313707355787264","The Democrats in the Southwest part of Virginia have been abandoned by their Party. Republican Ed Gillespie will never let you down!","Sat Oct 14 21:27:22 +0000 2017",16003,NA,71175,FALSE
"Twitter for iPhone","919162619889704961","Very proud of my Executive Order which will allow greatly expanded access and far lower costs for HealthCare. Millions of people benefit!","Sat Oct 14 11:27:00 +0000 2017",22827,NA,118617,FALSE
"Twitter for iPhone","919160558712172544","Health Insurance stocks, which have gone through the roof during the ObamaCare years, plunged yesterday after I ended their Dems windfall!","Sat Oct 14 11:18:49 +0000 2017",18450,NA,84508,FALSE
"Twitter for iPhone","919158911164444672","RT @realDonaldTrump: ""Consumer confidence soars to highest level since 2004""
<U+0001F4C8>https://t.co/RvxCPAFI2A https://t.co/U8MS9K45fX","Sat Oct 14 11:12:16 +0000 2017",11422,NA,0,TRUE
"Twitter for iPhone","919157971627724800","RT @RightlyNews: @realDonaldTrump @LouDobbs Trust in the media is at the lowest level in all of U.S. history. The American people see throu…","Sat Oct 14 11:08:32 +0000 2017",6965,NA,0,TRUE
"Twitter for iPhone","919157838106300416","RT @RightlyNews: @realDonaldTrump @LouDobbs It is NOT a coincidence that the economy boomed immediately after the 2016 election.","Sat Oct 14 11:08:00 +0000 2017",5126,NA,0,TRUE
"Twitter for iPhone","919012714827145216","Such a wonderful statement from the great @LouDobbs. ""We take up what may be the most accomplished presidency in modern American history.""","Sat Oct 14 01:31:20 +0000 2017",16039,NA,68504,FALSE
"Twitter for iPhone","919009334016856065","ObamaCare is causing such grief and tragedy for so many. It is being dismantled but in the meantime, premiums &amp; deductibles are way up!","Sat Oct 14 01:17:54 +0000 2017",12409,NA,61481,FALSE
"Twitter for iPhone","919007577681354752","Money pouring into Insurance Companies profits, under the guise of ObamaCare, is over. They have made a fortune.
Dems must get smart &amp; deal!","Sat Oct 14 01:10:55 +0000 2017",15845,NA,69168,FALSE
"Twitter for iPhone","919005534883328000","Many people talking, with much agreement, on my Iran speech today. Participants in the deal are making lots of money on trade with Iran!","Sat Oct 14 01:02:48 +0000 2017",11325,NA,54519,FALSE
"Twitter for iPhone","919003314674634752","Starting to develop a much better relationship with Pakistan and its leaders. I want to thank them for their cooperation on many fronts.","Sat Oct 14 00:53:59 +0000 2017",14106,NA,70090,FALSE
"Media Studio","918960024256434176","#WeeklyAddress<U+0001F1FA><U+0001F1F8> https://t.co/riqEiBNwk2","Fri Oct 13 22:01:57 +0000 2017",10666,NA,41603,FALSE
"Media Studio","918901399080935424","Today, I announced our strategy to confront the Iranian regime’s hostile actions and to ensure that they never acquire a nuclear weapon. https://t.co/N4ISdjuEdC","Fri Oct 13 18:09:00 +0000 2017",17647,NA,66875,FALSE
"Twitter for iPhone","918894502185787392","""Consumer confidence soars to highest level since 2004""
<U+0001F4C8>https://t.co/RvxCPAFI2A https://t.co/U8MS9K45fX","Fri Oct 13 17:41:36 +0000 2017",11415,NA,48865,FALSE
"Twitter for iPhone","918885859230875649","In America, we don't worship government - we worship God. 
#ValuesVotersSummit https://t.co/YQ3iDlWylK","Fri Oct 13 17:07:15 +0000 2017",21151,NA,80176,FALSE
"Twitter for iPhone","918876603148652544","I have no greater privilege than to serve as your Commander-in-Chief. HAPPY BIRTHDAY to the incredible men and women @USNavy!
#242NavyBday https://t.co/qcdB4U8CqA","Fri Oct 13 16:30:28 +0000 2017",16683,NA,73286,FALSE
"Twitter for iPhone","918808798059483136","The wonderful people of Puerto Rico, with their unmatched spirit, know how bad things were before the H's. I will always be with them!","Fri Oct 13 12:01:02 +0000 2017",11949,NA,63491,FALSE
"Twitter for iPhone","918806396875010048","Hard to believe that the Democrats, who have gone so far LEFT that they are no longer recognizable, are fighting so hard for Sanctuary crime","Fri Oct 13 11:51:30 +0000 2017",22858,NA,93291,FALSE
