"word","2013-2016","year","proportion"
"actress",2.25048835597325e-06,"2017-2020",4.50097671194649e-06
"actresses",NA,"2017-2020",2.25048835597325e-06
"acts",1.57534184918127e-05,"2017-2020",4.95107438314114e-05
"actua",NA,"2017-2020",2.25048835597325e-06
"actual",6.75146506791974e-06,"2017-2020",4.05087904075184e-05
"actuality",NA,"2017-2020",6.75146506791974e-06
"actualizaciones",NA,"2017-2020",2.25048835597325e-06
"actuall",NA,"2017-2020",4.50097671194649e-06
"actuallydominic",4.50097671194649e-06,"2017-2020",NA
"acu",6.75146506791974e-06,"2017-2020",2.25048835597325e-06
"acuconservative",2.25048835597325e-06,"2017-2020",NA
"acumen",4.50097671194649e-06,"2017-2020",NA
"acyh",NA,"2017-2020",2.25048835597325e-06
"aczogfifz",2.25048835597325e-06,"2017-2020",NA
"ad",0.000128277836290475,"2017-2020",9.45205109508763e-05
"ad's",2.25048835597325e-06,"2017-2020",NA
"ada",NA,"2017-2020",2.25048835597325e-06
"adahsahg",NA,"2017-2020",2.25048835597325e-06
"adair",2.25048835597325e-06,"2017-2020",NA
"adam",3.60078136955719e-05,"2017-2020",0.000454598647906596
"adamangus",4.50097671194649e-06,"2017-2020",NA
"adamant",NA,"2017-2020",2.25048835597325e-06
"adamblickstein",2.25048835597325e-06,"2017-2020",NA
"adambrownagency",2.25048835597325e-06,"2017-2020",NA
"adamcarolla",4.50097671194649e-06,"2017-2020",NA
"adamcarolla's",2.25048835597325e-06,"2017-2020",NA
"adamedinburg",2.25048835597325e-06,"2017-2020",NA
"adamgoldmannyt",NA,"2017-2020",2.25048835597325e-06
"adamhasasneh",2.25048835597325e-06,"2017-2020",NA
"adamjackson",2.25048835597325e-06,"2017-2020",NA
"adamjannke",2.25048835597325e-06,"2017-2020",NA
"adamkellydeals",2.25048835597325e-06,"2017-2020",NA
"adamlaxalt",NA,"2017-2020",4.50097671194649e-06
"adammatruski",2.25048835597325e-06,"2017-2020",NA
"adammilstein",NA,"2017-2020",4.50097671194649e-06
"adammke",2.25048835597325e-06,"2017-2020",NA
"adamodell",2.25048835597325e-06,"2017-2020",NA
"adamogdenceo",2.25048835597325e-06,"2017-2020",NA
"adamricheal",2.25048835597325e-06,"2017-2020",NA
"adamrifkin",2.25048835597325e-06,"2017-2020",NA
"adams",4.50097671194649e-06,"2017-2020",2.47553719157057e-05
"adamschiff",NA,"2017-2020",2.02543952037592e-05
"adamscott",6.75146506791974e-06,"2017-2020",NA
"adamscottnow",2.25048835597325e-06,"2017-2020",NA
"adamsmith",2.25048835597325e-06,"2017-2020",NA
"adamsteinbaugh",4.50097671194649e-06,"2017-2020",NA
"adamwebb",2.25048835597325e-06,"2017-2020",NA
"adamwebz",2.25048835597325e-06,"2017-2020",NA
"adanthedon",2.25048835597325e-06,"2017-2020",NA
"adapt",6.75146506791974e-06,"2017-2020",NA
"adaptable",2.25048835597325e-06,"2017-2020",NA
"adapting",NA,"2017-2020",2.25048835597325e-06
"adb",4.50097671194649e-06,"2017-2020",NA
"adbzwhtq",NA,"2017-2020",2.25048835597325e-06
"adcprqifh",NA,"2017-2020",2.25048835597325e-06
"add",2.7005860271679e-05,"2017-2020",9.67709993068496e-05
"added",2.02543952037592e-05,"2017-2020",0.000105772952730743
"addendum",NA,"2017-2020",2.25048835597325e-06
"addict",NA,"2017-2020",2.25048835597325e-06
"addictd",2.25048835597325e-06,"2017-2020",NA
"addicted",1.12524417798662e-05,"2017-2020",4.50097671194649e-06
"addicting",2.25048835597325e-06,"2017-2020",NA
"addiction",4.50097671194649e-06,"2017-2020",1.35029301358395e-05
"addictive",NA,"2017-2020",2.25048835597325e-06
"adding",6.75146506791974e-06,"2017-2020",3.37573253395987e-05
"addit",NA,"2017-2020",4.50097671194649e-06
"addition",4.27592787634917e-05,"2017-2020",7.20156273911439e-05
"additional",2.02543952037592e-05,"2017-2020",0.000137279789714368
"additionally",6.75146506791974e-06,"2017-2020",2.92563486276522e-05
"additions",NA,"2017-2020",4.50097671194649e-06
"address",6.30136739672509e-05,"2017-2020",0.000153033208206181
"addressed",2.25048835597325e-06,"2017-2020",9.00195342389298e-06
"addresses",4.50097671194649e-06,"2017-2020",1.12524417798662e-05
"addressing",1.8003906847786e-05,"2017-2020",1.35029301358395e-05
"adds",4.50097671194649e-06,"2017-2020",2.47553719157057e-05
"addyvanse",NA,"2017-2020",2.25048835597325e-06
"adeeasthope",2.25048835597325e-06,"2017-2020",NA
"adeezy",4.50097671194649e-06,"2017-2020",NA
"adelbmoufarrej",2.25048835597325e-06,"2017-2020",NA
